time,x,y,z,yaw,linx,liny,linz,yaw_rate,xd,yd,zd,yawd,vxd,vyd,vzd,wyawd,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1777058290.246138,0.591038,-0.760230,1.264376,-2.630012,-0.656544,0.322713,-0.113778,0.015265,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777058290.279483,0.603430,-0.760175,1.264285,-2.629218,-0.645300,0.318430,-0.108632,0.015758,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
1777058290.312873,0.621723,-0.759874,1.263421,-2.628416,-0.642641,0.318520,-0.105555,0.016465,0,0,0,0,0,0,0,0,1.000000,-0.887328,-0.019856,0.011167
1777058290.346107,0.621723,-0.759874,1.263421,-2.628416,-0.642641,0.318520,-0.105555,0.016465,0,0,0,0,0,0,0,0,0.921136,-0.809915,-0.020027,0.015577
1777058290.379463,0.634056,-0.759689,1.262858,-2.627466,-0.629020,0.312959,-0.100388,0.016991,0,0,0,0,0,0,0,0,0.929023,-0.788975,-0.019102,0.015247
1777058290.412975,0.648781,-0.759074,1.262817,-2.626486,-0.623629,0.310883,-0.096497,0.018119,0,0,0,0,0,0,0,0,0.936120,-0.778575,-0.019238,0.014552
1777058290.446156,0.655521,-0.758824,1.261967,-2.625356,-0.612499,0.305830,-0.093404,0.019971,0,0,0,0,0,0,0,0,0.917293,-0.740192,-0.017739,0.013042
1777058290.479493,0.669109,-0.758013,1.261284,-2.623957,-0.606784,0.303159,-0.090004,0.022072,0,0,0,0,0,0,0,0,0.925564,-0.731154,-0.016549,0.010234
1777058290.512936,0.676566,-0.757495,1.261269,-2.622630,-0.594325,0.297194,-0.085982,0.023637,0,0,0,0,0,0,0,0,0.917645,-0.700405,-0.016715,0.007724
1777058290.546189,0.688366,-0.756419,1.260495,-2.621418,-0.585666,0.292824,-0.083027,0.024550,0,0,0,0,0,0,0,0,0.925881,-0.687835,-0.015350,0.005721
1777058290.579574,0.694609,-0.755869,1.260091,-2.620418,-0.570830,0.285537,-0.079089,0.024710,0,0,0,0,0,0,0,0,0.911659,-0.657294,-0.014722,0.004604
1777058290.612951,0.701886,-0.754976,1.260100,-2.619723,-0.561638,0.280648,-0.075879,0.024494,0,0,0,0,0,0,0,0,0.908882,-0.632035,-0.014938,0.004747
1777058290.646129,0.707308,-0.754358,1.259392,-2.619211,-0.547183,0.273487,-0.072803,0.023422,0,0,0,0,0,0,0,0,0.891762,-0.603510,-0.013712,0.005516
1777058290.679531,0.713074,-0.753445,1.259129,-2.618869,-0.535989,0.267501,-0.069784,0.022127,0,0,0,0,0,0,0,0,0.880633,-0.577181,-0.013370,0.006837
1777058290.712930,0.715873,-0.752986,1.258990,-2.618553,-0.522488,0.260654,-0.066532,0.020913,0,0,0,0,0,0,0,0,0.846463,-0.543942,-0.013288,0.008042
1777058290.746108,0.719358,-0.752248,1.258409,-2.618193,-0.511397,0.254734,-0.064299,0.020063,0,0,0,0,0,0,0,0,0.821938,-0.514722,-0.012305,0.008822
1777058290.779487,0.721655,-0.751807,1.258051,-2.617744,-0.498146,0.248011,-0.061484,0.019502,0,0,0,0,0,0,0,0,0.789373,-0.485225,-0.011758,0.009013
1777058290.812906,0.724158,-0.751154,1.257877,-2.617185,-0.485106,0.241134,-0.058449,0.019300,0,0,0,0,0,0,0,0,0.762106,-0.457653,-0.011587,0.008565
1777058290.846127,0.725506,-0.750791,1.257198,-2.616531,-0.470232,0.233658,-0.055813,0.019317,0,0,0,0,0,0,0,0,0.727014,-0.429558,-0.010392,0.007583
1777058290.879469,0.725941,-0.750335,1.256906,-2.615837,-0.455737,0.226154,-0.052987,0.019563,0,0,0,0,0,0,0,0,0.688169,-0.399065,-0.009962,0.006362
1777058290.913002,0.726575,-0.750044,1.256710,-2.615132,-0.439663,0.218121,-0.049725,0.019552,0,0,0,0,0,0,0,0,0.652953,-0.373124,-0.009739,0.005045
1777058290.946242,0.725947,-0.749719,1.256176,-2.614503,-0.422577,0.209461,-0.046932,0.019308,0,0,0,0,0,0,0,0,0.610748,-0.343286,-0.008832,0.004027
1777058290.979449,0.725258,-0.749565,1.255898,-2.613987,-0.405490,0.200998,-0.043832,0.018754,0,0,0,0,0,0,0,0,0.570213,-0.316714,-0.008438,0.003455
1777058291.012781,0.723286,-0.749411,1.255775,-2.613609,-0.387485,0.191962,-0.040616,0.017875,0,0,0,0,0,0,0,0,0.522593,-0.286307,-0.008370,0.003421
1777058291.046180,0.721180,-0.749408,1.255405,-2.613352,-0.372204,0.184424,-0.038332,0.016892,0,0,0,0,0,0,0,0,0.476565,-0.258687,-0.007804,0.003821
1777058291.079567,0.719197,-0.749330,1.255125,-2.613130,-0.353970,0.175375,-0.035322,0.015750,0,0,0,0,0,0,0,0,0.434660,-0.232884,-0.007417,0.004233
1777058291.112899,0.716807,-0.749390,1.255057,-2.612926,-0.338689,0.167871,-0.032737,0.014789,0,0,0,0,0,0,0,0,0.391771,-0.208121,-0.007466,0.004602
1777058291.146166,0.713815,-0.749454,1.254682,-2.612672,-0.322481,0.159876,-0.030531,0.014031,0,0,0,0,0,0,0,0,0.346964,-0.182329,-0.006893,0.004628
1777058291.179490,0.711538,-0.749536,1.254553,-2.612389,-0.308728,0.153154,-0.028410,0.013530,0,0,0,0,0,0,0,0,0.310358,-0.161601,-0.006808,0.004429
1777058291.213094,0.708776,-0.749631,1.254463,-2.612064,-0.293155,0.145528,-0.026001,0.013076,0,0,0,0,0,0,0,0,0.272124,-0.140093,-0.006810,0.003967
1777058291.246235,0.706763,-0.749720,1.254157,-2.611750,-0.279126,0.138713,-0.024047,0.012663,0,0,0,0,0,0,0,0,0.241816,-0.123205,-0.006374,0.003503
1777058291.279457,0.703825,-0.749869,1.254028,-2.611458,-0.263944,0.131325,-0.021861,0.012189,0,0,0,0,0,0,0,0,0.205825,-0.103598,-0.006289,0.003080
1777058291.313024,0.701633,-0.749993,1.254019,-2.611217,-0.251159,0.125131,-0.019853,0.011698,0,0,0,0,0,0,0,0,0.177633,-0.088311,-0.006453,0.002839
1777058291.346199,0.698659,-0.750180,1.253780,-2.611015,-0.238372,0.118933,-0.018294,0.011168,0,0,0,0,0,0,0,0,0.144752,-0.070885,-0.006149,0.002718
1777058291.379520,0.697130,-0.750278,1.253642,-2.610839,-0.225982,0.112962,-0.016395,0.010539,0,0,0,0,0,0,0,0,0.124890,-0.060192,-0.006044,0.002645
1777058291.412984,0.694251,-0.750487,1.253641,-2.610695,-0.214383,0.107365,-0.014763,0.009968,0,0,0,0,0,0,0,0,0.095282,-0.044862,-0.006213,0.002657
1777058291.446167,0.692591,-0.750609,1.253394,-2.610549,-0.204147,0.102439,-0.013456,0.009452,0,0,0,0,0,0,0,0,0.076816,-0.035159,-0.005883,0.002599
1777058291.479573,0.690484,-0.750787,1.253285,-2.610403,-0.193269,0.097227,-0.011954,0.008965,0,0,0,0,0,0,0,0,0.055480,-0.024319,-0.005821,0.002481
1777058291.512856,0.689162,-0.750900,1.253239,-2.610253,-0.183038,0.092323,-0.010332,0.008512,0,0,0,0,0,0,0,0,0.041270,-0.016981,-0.005886,0.002299
1777058291.546153,0.687467,-0.751071,1.252975,-2.610105,-0.171642,0.086890,-0.008855,0.008054,0,0,0,0,0,0,0,0,0.024340,-0.008635,-0.005508,0.002070
1777058291.579481,0.687467,-0.751071,1.252975,-2.610105,-0.171642,0.086890,-0.008855,0.008054,0,0,0,0,0,0,0,0,0.022155,-0.007149,-0.005637,0.002507
1777058291.612934,0.685320,-0.751258,1.252861,-2.609968,-0.159070,0.080864,-0.007040,0.007571,0,0,0,0,0,0,0,0,0.002435,0.002685,-0.005543,0.002233
1777058291.646131,0.684297,-0.751392,1.252850,-2.609850,-0.148715,0.075950,-0.005319,0.007113,0,0,0,0,0,0,0,0,-0.007892,0.007548,-0.005664,0.002007
1777058291.679459,0.683324,-0.751495,1.252620,-2.609750,-0.139187,0.071393,-0.004007,0.006668,0,0,0,0,0,0,0,0,-0.017579,0.012368,-0.005340,0.001823
1777058291.712795,0.681972,-0.751655,1.252536,-2.609669,-0.130589,0.067312,-0.002777,0.006248,0,0,0,0,0,0,0,0,-0.030197,0.018336,-0.005300,0.001691
1777058291.746124,0.681175,-0.751750,1.252519,-2.609595,-0.122553,0.063476,-0.001466,0.005839,0,0,0,0,0,0,0,0,-0.038004,0.022160,-0.005399,0.001557
1777058291.779472,0.680207,-0.751885,1.252305,-2.609535,-0.115434,0.060111,-0.000609,0.005456,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.047162,0.026363,-0.005091,0.001453
1777058291.812929,0.679625,-0.751967,1.252204,-2.609476,-0.108704,0.056904,0.000397,0.005103,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.053001,0.029174,-0.005002,0.001321
1777058291.846125,0.679188,-0.752074,1.252171,-2.609422,-0.102138,0.053819,0.001471,0.004763,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.057883,0.031160,-0.005047,0.001186
1777058291.879507,0.678830,-0.752144,1.251940,-2.609373,-0.095747,0.050776,0.002283,0.004439,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.062101,0.033129,-0.004687,0.001045
1777058291.912922,0.678792,-0.752230,1.251833,-2.609326,-0.089169,0.047692,0.003338,0.004127,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.064152,0.033625,-0.004567,0.000882
1777058291.946144,0.678483,-0.752294,1.251795,-2.609290,-0.083317,0.044900,0.004289,0.003828,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.068356,0.035631,-0.004586,0.000749
1777058291.979479,0.678611,-0.752361,1.251573,-2.609258,-0.077956,0.042392,0.004997,0.003547,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.069376,0.035688,-0.004227,0.000607
1777058292.012899,0.678576,-0.752408,1.251471,-2.609233,-0.072638,0.039858,0.005812,0.003268,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.071787,0.036777,-0.004099,0.000482
1777058292.046102,0.679602,-0.752452,1.251238,-2.609200,-0.063937,0.035770,0.007244,0.002997,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.066717,0.033404,-0.003707,0.000267
1777058292.079555,0.679602,-0.752452,1.251238,-2.609200,-0.063937,0.035770,0.007244,0.002997,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.069381,0.035094,-0.003770,0.000220
1777058292.112900,0.679667,-0.752517,1.251077,-2.609208,-0.058229,0.033068,0.008062,0.002674,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.072008,0.036031,-0.003508,0.000184
1777058292.146151,0.680237,-0.752538,1.251099,-2.609216,-0.052299,0.030245,0.009207,0.002391,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.070855,0.035171,-0.003620,0.000107
1777058292.179464,0.681098,-0.752548,1.250932,-2.609239,-0.047571,0.028017,0.009945,0.002093,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.067847,0.033298,-0.003350,0.000077
1777058292.212901,0.681491,-0.752563,1.250874,-2.609260,-0.042054,0.025359,0.010856,0.001835,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.068881,0.033731,-0.003297,0.000010
1777058292.246132,0.681491,-0.752563,1.250874,-2.609260,-0.042054,0.025359,0.010856,0.001835,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.072585,0.035917,-0.003352,-0.000144
1777058292.279452,0.682228,-0.752558,1.250819,-2.609286,-0.037374,0.023116,0.011680,0.001589,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.070765,0.034834,-0.003301,-0.000199
1777058292.312994,0.682697,-0.752558,1.250684,-2.609312,-0.033565,0.021278,0.012195,0.001355,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.071279,0.035059,-0.003084,-0.000272
1777058292.346128,0.683813,-0.752526,1.250612,-2.609342,-0.030876,0.020010,0.012711,0.001126,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.066889,0.032685,-0.002988,-0.000342
1777058292.379463,0.684401,-0.752514,1.250590,-2.609377,-0.027586,0.018418,0.013284,0.000904,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.066976,0.032724,-0.002993,-0.000397
1777058292.412904,0.685840,-0.752469,1.250454,-2.609416,-0.024875,0.017143,0.013747,0.000707,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.060657,0.029287,-0.002763,-0.000455
1777058292.446133,0.686510,-0.752447,1.250378,-2.609460,-0.021868,0.015678,0.014200,0.000502,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.060729,0.029354,-0.002650,-0.000499
1777058292.479618,0.688152,-0.752389,1.250379,-2.609505,-0.019116,0.014376,0.014838,0.000342,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.053465,0.025415,-0.002693,-0.000557
1777058292.512867,0.688881,-0.752360,1.250233,-2.609557,-0.016172,0.012930,0.015173,0.000161,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.053740,0.025617,-0.002438,-0.000598
1777058292.546123,0.690480,-0.752287,1.250173,-2.609609,-0.014156,0.011967,0.015598,-0.000000,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.047310,0.022268,-0.002348,-0.000649
1777058292.579526,0.691328,-0.752257,1.250169,-2.609663,-0.011041,0.010437,0.016117,-0.000135,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.047214,0.022194,-0.002374,-0.000702
1777058292.612879,0.692930,-0.752171,1.250029,-2.609722,-0.009535,0.009705,0.016347,-0.000301,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.041191,0.019178,-0.002123,-0.000743
1777058292.646133,0.693767,-0.752131,1.249976,-2.609781,-0.007207,0.008550,0.016676,-0.000445,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.041537,0.019413,-0.002040,-0.000789
1777058292.679462,0.695435,-0.752041,1.249948,-2.609845,-0.005946,0.007937,0.016998,-0.000594,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.035331,0.016274,-0.002007,-0.000826
1777058292.712876,0.696333,-0.751997,1.249855,-2.609909,-0.003802,0.006869,0.017235,-0.000721,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.035528,0.016414,-0.001840,-0.000863
1777058292.746135,0.698087,-0.751902,1.249812,-2.609977,-0.002554,0.006256,0.017521,-0.000840,0.750000,-0.750000,1.250000,3.665191,0.000000,0.000000,0.000000,0.000000,-0.028985,0.013086,-0.001771,-0.000894
