time,x,y,z,yaw,linx_w,liny_w,linz_w,linx_b,liny_b,linz_b,yaw_rate,xd,yd,zd,yawd,vxd_w,vyd_w,vzd_w,vxd_b,vyd_b,vzd_b,wyawd,cmd_linx,cmd_liny,cmd_linz,cmd_angz
1777417438.761686,1.235239,1.699283,1.733510,0.804782,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.179849,0.178552,1.835683,0.774426,0.223376,0.218527,0.349644,0.312492,-0.000000,0.349644,-0.027515,0.000000,0.000000,0.000000,0.000000
1777417438.795105,1.235239,1.699283,1.733510,0.804782,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.187178,0.185715,1.847145,0.773497,0.223240,0.217989,0.348783,0.312019,-0.000000,0.348783,-0.027864,-1.000000,-1.000000,0.526538,-0.136996
1777417438.828329,1.235239,1.699283,1.733510,0.804782,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.194515,0.192872,1.858596,0.772528,0.223099,0.217429,0.347887,0.311526,0.000000,0.347887,-0.029089,-1.000000,-1.000000,0.562933,-0.133368
1777417438.861653,1.235242,1.699120,1.733510,0.804462,0.000003,-0.000182,-0.000000,-0.000130,-0.000129,-0.000000,-0.005699,0.201981,0.200141,1.870226,0.771500,0.222950,0.216837,0.346939,0.311006,0.000000,0.346939,-0.030844,-1.000000,-1.000000,0.598300,-0.130733
1777417438.895092,1.235242,1.699120,1.733510,0.804462,0.000003,-0.000182,-0.000000,-0.000130,-0.000129,-0.000000,-0.005699,0.209420,0.207369,1.881791,0.770433,0.222795,0.216225,0.345960,0.310469,0.000000,0.345960,-0.031994,-1.000000,-1.000000,0.633042,-0.127551
1777417438.928313,1.235242,1.699023,1.735074,0.802992,0.000111,-0.000282,0.001915,-0.000126,-0.000275,0.001915,-0.032125,0.216871,0.214592,1.893347,0.769323,0.222635,0.215590,0.344944,0.309912,0.000000,0.344944,-0.033308,-1.000000,-1.000000,0.666757,-0.126247
1777417438.961666,1.235273,1.696729,1.736022,0.800405,0.000236,-0.002836,0.002972,-0.001871,-0.002144,0.002972,-0.044703,0.224300,0.221779,1.904846,0.768173,0.222469,0.214934,0.343895,0.309337,0.000000,0.343895,-0.034494,-1.000000,-1.000000,0.696628,-0.118978
1777417438.995296,1.235286,1.695687,1.736411,0.797105,0.000280,-0.003920,0.003346,-0.002609,-0.002939,0.003346,-0.084944,0.231682,0.228902,1.916243,0.766988,0.222299,0.214261,0.342818,0.308747,0.000000,0.342818,-0.035547,-1.000000,-1.000000,0.726664,-0.107578
1777417439.028420,1.235286,1.695687,1.736411,0.797105,0.000280,-0.003920,0.003346,-0.002609,-0.002939,0.003346,-0.084944,0.239091,0.236034,1.927655,0.765756,0.222122,0.213564,0.341702,0.308136,0.000000,0.341702,-0.036968,-1.000000,-0.965785,0.756738,-0.094062
1777417439.061679,1.235337,1.690617,1.746973,0.792992,0.001543,-0.009446,0.016079,-0.005648,-0.007728,0.016079,-0.079026,0.246491,0.243140,1.939024,0.764482,0.221940,0.212845,0.340552,0.307507,0.000000,0.340552,-0.038228,-1.000000,-0.922783,0.786775,-0.096649
